Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,300.6000061035156,295.19000244140625,296.239990234375,300.3500061035156,33870100.0,298.8299560546875
2020-01-03,300.5799865722656,296.5,297.1499938964844,297.42999267578125,36580700.0,295.9247131347656
2020-01-06,299.9599914550781,292.75,293.7900085449219,299.79998779296875,29596800.0,298.28271484375
2020-01-07,300.8999938964844,297.4800109863281,299.8399963378906,298.3900146484375,27218000.0,296.8798828125
2020-01-08,304.44000244140625,297.1600036621094,297.1600036621094,303.19000244140625,33019800.0,301.6555480957031
2020-01-09,310.42999267578125,306.20001220703125,307.239990234375,309.6300048828125,42527100.0,308.06298828125
2020-01-10,312.6700134277344,308.25,310.6000061035156,310.3299865722656,35161200.0,308.7593994140625
2020-01-13,317.07000732421875,311.1499938964844,311.6400146484375,316.9599914550781,30383000.0,315.3558654785156
2020-01-14,317.57000732421875,312.1700134277344,316.70001220703125,312.67999267578125,40488600.0,311.0975341796875
2020-01-15,315.5,309.54998779296875,311.8500061035156,311.3399963378906,30480900.0,309.7643127441406
2020-01-16,315.70001220703125,312.0899963378906,313.5899963378906,315.239990234375,27207300.0,313.6445617675781
2020-01-17,318.739990234375,315.0,316.2699890136719,318.7300109863281,34454100.0,317.116943359375
2020-01-21,319.0199890136719,316.0,317.19000244140625,316.57000732421875,27710800.0,314.9678649902344
2020-01-22,319.989990234375,317.30999755859375,318.5799865722656,317.70001220703125,25458100.0,316.0921630859375
2020-01-23,319.55999755859375,315.6499938964844,317.9200134277344,319.2300109863281,26118000.0,317.6144104003906
2020-01-24,323.3299865722656,317.5199890136719,320.25,318.30999755859375,36634400.0,316.69903564453125
2020-01-27,311.7699890136719,304.8800048828125,310.05999755859375,308.95001220703125,40485000.0,307.38641357421875
2020-01-28,318.3999938964844,312.19000244140625,312.6000061035156,317.69000244140625,40558500.0,316.0821838378906
2020-01-29,327.8500061035156,321.3800048828125,324.45001220703125,324.3399963378906,54057300.0,322.6985168457031
2020-01-30,324.0899963378906,318.75,320.5400085449219,323.8699951171875,31685800.0,322.23089599609375
2020-01-31,322.67999267578125,308.2900085449219,320.92999267578125,309.510009765625,49897100.0,307.943603515625
2020-02-03,313.489990234375,302.2200012207031,304.29998779296875,308.6600036621094,43496400.0,307.097900390625
2020-02-04,319.6400146484375,313.6300048828125,315.30999755859375,318.8500061035156,34154100.0,317.2362976074219
2020-02-05,324.760009765625,318.95001220703125,323.5199890136719,321.45001220703125,29706700.0,319.82318115234375
2020-02-06,325.2200012207031,320.260009765625,322.57000732421875,325.2099914550781,26356400.0,323.5641174316406
2020-02-07,323.3999938964844,318.0,322.3699951171875,320.0299987792969,29421000.0,319.166015625
2020-02-10,321.54998779296875,313.8500061035156,314.17999267578125,321.54998779296875,27337200.0,320.6819152832031
2020-02-11,323.8999938964844,318.7099914550781,323.6000061035156,319.6099853515625,23580800.0,318.74713134765625
2020-02-12,327.2200012207031,321.4700012207031,321.4700012207031,327.20001220703125,28432600.0,326.3166809082031
2020-02-13,326.2200012207031,323.3500061035156,324.19000244140625,324.8699951171875,23686900.0,323.9929504394531
2020-02-14,325.9800109863281,322.8500061035156,324.739990234375,324.95001220703125,20028400.0,324.07275390625
2020-02-18,319.75,314.6099853515625,315.3599853515625,319.0,38132800.0,318.1387939453125
2020-02-19,324.57000732421875,320.0,320.0,323.6199951171875,23496000.0,322.746337890625
2020-02-20,324.6499938964844,318.2099914550781,322.6300048828125,320.29998779296875,25141500.0,319.4352722167969
2020-02-21,320.45001220703125,310.5,318.6199951171875,313.04998779296875,32388500.0,312.2048645019531
2020-02-24,304.17999267578125,289.2300109863281,297.260009765625,298.17999267578125,55548800.0,297.375
2020-02-25,302.5299987792969,286.1300048828125,300.95001220703125,288.0799865722656,57668400.0,287.3022766113281
2020-02-26,297.8800048828125,286.5,286.5299987792969,292.6499938964844,49513700.0,291.85992431640625
2020-02-27,286.0,272.9599914550781,281.1000061035156,273.5199890136719,79834500.0,272.7815856933594
2020-02-28,278.4100036621094,256.3699951171875,257.260009765625,273.3599853515625,106721200.0,272.62200927734375
2020-03-02,301.44000244140625,277.7200012207031,282.2799987792969,298.80999755859375,85349300.0,298.0032958984375
2020-03-03,304.0,285.79998779296875,303.6700134277344,289.32000732421875,79868900.0,288.5389404296875
